ID,PID,Timestamp,CPU%,CPU(W),GPU%,GPU(W)
1,45138,1771250937927,9.541985511779785,1.1561395595968813,0,0
2,45138,1771250939021,6.36991548538208,1.1539609799084154,0,0
3,45138,1771250940117,4,0.7401240441928363,0,0
4,45138,1771250941217,6.36991548538208,1.0575975227602694,0,0
5,45138,1771250942325,3.754789352416992,0.6153727583611133,1,0.15335714097385833
6,45138,1771250943423,8.448540687561035,1.4515960817967846,37,11.237330297027105
7,45138,1771250944522,8.429119110107422,1.5060152472703408,39,11.903919086807129
8,45138,1771250945620,8.404009819030762,1.5200369115361565,39,12.262801819570631
9,45138,1771250946720,8.492732048034668,1.4421231275859683,39,11.61530045498949
10,45138,1771250947816,8.442055702209473,1.4951862186633076,38,12.199946198253201
11,45138,1771250948914,8.358895301818848,1.4252486165757363,39,12.333883474093074
12,45138,1771250950013,8.358895301818848,1.468341148518521,38,11.89385539304071
13,45138,1771250951112,8.639143943786621,1.5038407025904015,35,10.328518588293118
14,45138,1771250952212,8.371735572814941,1.4820544789668788,0,0
15,45138,1771250953306,8.269524574279785,1.4191429449498019,9,1.579420379066556
16,45138,1771250954398,8.551618576049805,1.4833892227483956,36,12.44507209498761
17,45138,1771250955492,8.487654685974121,1.4669679848882626,39,12.713648576138413
18,45138,1771250956590,8.358895301818848,1.5252572308509347,37,10.680433125099974
19,45138,1771250957683,8.404009819030762,1.4773320110193113,38,10.528651385509407
20,45138,1771250958778,8.494208335876465,1.495862131241768,40,14.627435117400243
21,45138,1771250959871,8.481110572814941,1.5068490183999943,38,12.862942505988382
22,45138,1771250960965,8.384614944458008,1.59196523196107,37,11.112217214764243
23,45138,1771250962060,8.404009819030762,1.4737883982846631,39,15.496058337468806
24,45138,1771250963160,8.678956031799316,2.013726698531572,2,0.5010494487449281
25,45138,1771250964255,8.404009819030762,1.7074342608112223,8,2.1040002426491426
26,45138,1771250965368,8.645753860473633,1.8238427737845255,31,8.3609640294343
27,45138,1771250966463,8.494208335876465,1.6001768741412874,38,9.643195472777894
28,45138,1771250967555,8.416988372802734,1.5098576160334343,40,14.60439555609747
29,45138,1771250968648,8.487654685974121,1.6017144060880824,39,12.501766707677895
30,45138,1771250969746,8.397534370422363,1.6260197692501293,39,10.89883552212127
31,45138,1771250970841,8.46153736114502,1.6026435276555966,39,10.676593431955746
32,45138,1771250971946,8.486237525939941,1.746822840916477,38,12.685674379220734
33,45138,1771250973065,8.288972854614258,2.618977472718768,30,7.275438111339924
34,45138,1771250974165,8.648648262023926,2.2218813952361542,22,4.642331138080009
35,45138,1771250975294,8.4644193649292,2.204871572014537,3,0.45631081182715005
36,45138,1771250976399,8.645753860473633,1.821521138550999,10,2.4742316901811967
37,45138,1771250977498,8.46153736114502,1.612397433776882,39,13.608189599758436
38,45138,1771250978595,8.429119110107422,1.5472551559622738,40,15.202863189693893
39,45138,1771250979691,8.442055702209473,1.512129755148089,38,15.385252867657863
40,45138,1771250980794,8.403361320495605,1.5671697576251802,37,14.142746338547639
41,45138,1771250981909,8.383685111999512,1.6614817419256183,37,13.974924463080502
42,45138,1771250983007,8.448540687561035,1.5304525646016711,38,14.176515711183718
43,45138,1771250984106,8.429119110107422,1.4687331971724484,37,14.158782134256214
44,45138,1771250985203,8.595547676086426,1.5481586381086585,32,11.644994728542393
