ID,PID,Timestamp,CPU%,CPU(W),GPU%,GPU(W)
1,28115,1770560359784,8.389900207519531,1.4041880373174793,27,13.98609
2,28115,1770560362978,8.12169361114502,1.5188927165797932,56.00000000000001,30.163093333333332
3,28115,1770560366145,8.178438186645508,1.5708970140789922,56.00000000000001,32.014266666666664
4,28115,1770560369316,8.12964916229248,1.5656699732927162,56.00000000000001,32.321893333333335
5,28115,1770560372488,8.264019012451172,1.93018678515255,50,28.569
6,28115,1770560375680,8.202814102172852,1.7279049905161097,38,21.822893333333333
7,28115,1770560378847,8.169239044189453,1.5944877071222685,75,44.92775
8,28115,1770560382019,8.175765991210938,1.560829489820353,38,22.361733333333333
9,28115,1770560385187,8.14539623260498,1.554886633423106,27,15.066360000000001
10,28115,1770560388357,8.184958457946777,1.636431240200545,62,36.324353333333335
11,28115,1770560391536,8.167594909667969,1.7655462206509147,38,22.044813333333334
12,28115,1770560394707,8.231219291687012,1.6522499321179673,44,24.355173333333333
13,28115,1770560397866,6.339903354644775,0.9767095553931318,0,0
14,28115,1770560401014,0,0,0,0
